Question,Answer
Will i need to buy books for Computing?,Not necessarily but you can check out the Library in the University
Will i need to buy my own laptop for the course?,You can use the local computer systems in the University however it is highly recommended that you provide you own device.
Who is the head of the computing department?,The head of the computing department is Fiona and Yvonn.
Will i need to install certain programming laguages?,Programming languages dpends on the module you are doing
What is the 3D Mathematics For Simulation And Visulization module about?,The module will cover the mathematical techniques needed by professionals in the simulation and visualization industries for the understanding and application of routines used in industry standard Physics engines and graphics libraries.
What SHE level is 3D Mathematics For Simulation And Visulization module?,The 3D Mathematics For Simulation And Visulization module is SHE level is 2.
How many SCQF credit points is the 3D Mathematics For Simulation And Visulization module worth?,This module is worth 20.00 SCQF credit points.
How many ECTS credit points is the 3D Mathematics For Simulation And Visulization module worth?,This module is worth 10.00 ECTS credit points.
What is the module code for the 3D Mathematics For Simulation And Visulization?,The module code's for 3D Mathematics For Simulation And Visulization is : M21625705 - M21623008
Who is the module leader for the 3D Mathematics For Simulation And Visulization?,The module leader for 3D Mathematics For Simulation And Visulization is : Leonard Scott
When does the module 3D Mathematics For Simulation And Visulization actually start?,The 3D Mathematics For Simulation And Visulization module will start in trimester A - September start.
How is the assessment's split up in the 3D Mathematics For Simulation And Visulization module?,There are two components to the 3D Mathematics For Simulation And Visulization assessment one beign a 2 hour exam weighting at 70.00 with a threshhold of 35% - the other being coursework which has a weighting of 30.00 with a threshhold of 35%.
What is the Advanced Programming module about?,This module aims to encourage students to become polyglot programmers. It will equip them with a broad understanding of the nature of a range of programming paradigms and the support provided for each paradigm in currently popular programming languages. Thus it will equip students to be able to make appropriate choices to best meet the requirements of a specific programming problem. The module also introduces a range of advanced programming techniques- such as asynchronous messaging- parallel computation and distributed programming. The module will additionally provide coverage of current and emerging programming paradigms- languages and techniques.
What SHE level is the Advanced Programming module?,The Advanced Programming module's SHE level is 3.
How many SCQF credit points is the Advanced Programming module worth?,The Advanced Programming module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Advanced Programming module worth?,The Advanced Programming module is worth 10.00 ECTS credit points.
What is the module code for the Advanced Programming?,The module code's for Advanced Programming is: M31322912 - M31325095.
Who is the module leader for the Advanced Programming?,The module leader for Advanced Programming is : Martin Gallacher.
When does the module Advanced Programming actually start?,The module Advanced Programming will start either in trimester B - January start or trimester A - september Start or trimester B - january start.
How is the assessment's split up in the Advanced Programming module?,There are two components to the Advanced Programming assessment one beign a 2 hour exam weighting at 50.00 with a threshold of 35% - the other being coursework whichhas a weighting of 50.00 with a threshhold of 35%.
